trade_id,ticker,count,created_time,yes_price,no_price,taker_side
8b02ed3d-8dcb-4f14-96a5-a8276a8f4a9a,USDJPY-23JUN0910-T139.499,100,2023-06-09T13:56:02.301208Z,90,10,no
b7d97192-ea09-47b4-b242-f4c305ad4a56,USDJPY-23JUN0910-T139.499,12,2023-06-09T13:45:16.711334Z,38,62,yes
0f3b45c7-cb6d-4bc0-905b-ade741a2957a,USDJPY-23JUN0910-T139.499,12,2023-06-09T13:45:16.711334Z,39,61,yes
adc39239-f5c6-44c2-a857-180b542e5b09,USDJPY-23JUN0910-T139.499,4,2023-06-09T13:42:29.631412Z,34,66,yes
a1b025bc-ccef-48f6-a1cb-1791e9dc3ba9,USDJPY-23JUN0910-T139.499,100,2023-06-09T13:41:14.792024Z,9,91,yes
c848bf1f-a6aa-43bb-991b-e56ea4630e54,USDJPY-23JUN0910-T139.499,100,2023-06-09T13:40:24.541413Z,6,94,yes
b6b81e9a-9711-4614-8d84-5afc3dc0098b,USDJPY-23JUN0910-T139.499,125,2023-06-09T13:33:31.530071Z,4,96,no
ab29dcbf-e623-4e6b-a243-1de35cc8033f,USDJPY-23JUN0910-T139.499,14,2023-06-09T12:55:08.042962Z,8,92,yes
af99d981-4a3b-45eb-b2e4-7c7d5de3b2d9,USDJPY-23JUN0910-T139.499,32,2023-06-09T12:55:08.030764Z,8,92,yes
87e0d1c9-47f5-4ec3-a76b-8214298fafc6,USDJPY-23JUN0910-T139.499,54,2023-06-09T12:54:43.790468Z,8,92,yes
9939bf72-5b1e-43ad-b819-e1cb923df68e,USDJPY-23JUN0910-T139.499,51,2023-06-09T12:53:53.58138Z,6,94,yes
ab725cb4-38e0-4e26-9388-fdcf948ce34d,USDJPY-23JUN0910-T139.499,49,2023-06-09T12:53:44.979337Z,6,94,yes
5dccee70-4c25-47e2-8dcf-c181ddf256f7,USDJPY-23JUN0910-T139.499,37,2023-06-09T12:30:08.806269Z,11,89,no
426cb471-d857-4816-a05c-29a53e22d80d,USDJPY-23JUN0910-T139.499,53,2023-06-09T12:12:19.946267Z,24,76,yes
ccfb813b-0d22-420f-a745-02591bd20995,USDJPY-23JUN0910-T139.499,25,2023-06-09T00:28:07.153995Z,9,91,yes
f5f14f2f-abc9-4bd8-83ba-e48563043819,USDJPY-23JUN0910-T139.499,25,2023-06-09T00:13:47.788496Z,8,92,yes
44cc06f8-2101-4622-b42c-7049bf7e8e11,USDJPY-23JUN0910-T139.499,25,2023-06-09T00:12:58.035909Z,7,93,yes
e06ce95e-4744-46b3-b2ef-12de2db881b5,USDJPY-23JUN0910-T139.499,25,2023-06-09T00:04:04.066413Z,6,94,yes
08c61e1e-1db3-4438-b519-132f8dfec0f0,USDJPY-23JUN0910-T139.499,25,2023-06-08T22:42:18.439712Z,5,95,yes
e7245532-1f6c-43f7-abe4-a64efbd54d47,USDJPY-23JUN0910-T139.499,100,2023-06-08T22:42:16.601569Z,5,95,yes
bb241018-7e6c-4567-9c48-9d69617ed068,USDJPY-23JUN0910-T139.499,75,2023-06-08T22:41:58.976414Z,4,96,yes
ed5cc134-8501-48ee-a81e-86013ec33934,USDJPY-23JUN0910-T139.499,25,2023-06-08T22:41:58.214989Z,4,96,no
1725bcc7-5cbd-41a9-ad8f-894282342713,USDJPY-23JUN0910-T139.499,50,2023-06-08T22:38:02.690637Z,6,94,yes
491ae176-7aae-4a7e-8aed-a049e3c76798,USDJPY-23JUN0910-T139.499,10,2023-06-08T22:31:49.466918Z,6,94,yes
e055ddf7-c7e2-454a-9354-a57d3445a807,USDJPY-23JUN0910-B139.375,20,2023-06-09T13:54:55.514784Z,2,98,yes
7eb51ede-ff70-4fd6-923b-3f78cf2822ed,USDJPY-23JUN0910-B139.375,20,2023-06-09T13:54:08.995858Z,1,99,yes
b0d09547-ce05-4342-b4e7-01660ced4a0d,USDJPY-23JUN0910-B139.375,12,2023-06-09T13:45:15.810472Z,61,39,no
0a9f2829-86f5-4ad5-8931-970f07b7844d,USDJPY-23JUN0910-B139.375,12,2023-06-09T13:45:15.810472Z,62,38,no
4ed52b17-db89-409e-aa6f-600c4fefe105,USDJPY-23JUN0910-B139.375,125,2023-06-09T13:44:46.188048Z,53,47,yes
